goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.015858892,28,11,54,0,1,1,6,2,4,1,,,2,87.5,31.5,Indian Super league 2021/2022
0,0.014486863,31,33,58,1,0,0,9,1,4,1,,,6,94.8,29.2,Indian Super league 2021/2022
0,0.12756729,40,53,82,1,0,0,11,2,2,1,,,2,110.6,52.8,Indian Super league 2021/2022
1,0.08925154,45,37,88,4,1,1,6,1,2,1,,,1,100.3,37.6,Indian Super league 2021/2022
0,0.095769025,52,35,110,1,1,1,3,2,2,1,,,2,98.1,37.7,Indian Super league 2021/2022
1,0.39892703,53,32,111,2,0,0,10,2,1,1,,,1,107.4,33.6,Indian Super league 2021/2022
0,0.01903548,57,9,115,0,1,1,8,1,1,1,,,2,99.2,27.7,Indian Super league 2021/2022
0,0.49193203,58,19,117,1,0,0,0,1,2,1,True,,0,110.4,42.0,Indian Super league 2021/2022
0,0.5307002,58,19,117,1,0,0,0,1,1,1,,,2,112.8,41.9,Indian Super league 2021/2022
0,0.073810995,62,20,125,4,0,0,5,2,2,1,,,2,101.8,50.1,Indian Super league 2021/2022
1,0.10276373,70,26,143,3,0,0,4,2,2,1,,,1,108.7,45.6,Indian Super league 2021/2022
0,0.030932056,80,1,156,1,0,0,2,0,2,1,,,2,104.9,39.6,Indian Super league 2021/2022
0,0.05976954,84,29,166,4,0,0,1,1,2,1,,,3,101.1,50.8,Indian Super league 2021/2022
1,0.24361956,86,33,170,4,0,0,2,2,2,1,,,1,108.7,36.2,Indian Super league 2021/2022
0,0.037306152,87,55,172,4,0,0,7,2,2,1,,,2,93.8,38.9,Indian Super league 2021/2022
0,0.06893037,93,35,184,1,0,0,4,2,2,0,,,2,96.1,35.1,Indian Super league 2021/2022
0,0.100506224,6,22,18,1,1,1,3,2,1,1,,,0,103.3,35.4,Indian Super league 2021/2022
0,0.05928947,8,23,22,3,1,1,6,1,1,1,,,3,103.7,32.7,Indian Super league 2021/2022
0,0.01240312,11,13,28,2,0,0,13,2,1,1,,,2,107.0,60.0,Indian Super league 2021/2022
0,0.027357914,12,33,30,5,0,0,1,2,1,1,,,2,92.1,42.6,Indian Super league 2021/2022
0,0.01871603,14,4,35,2,0,0,13,2,1,1,,,3,118.9,51.7,Indian Super league 2021/2022
0,0.06011544,15,15,39,1,1,1,4,1,1,1,,,2,100.1,27.3,Indian Super league 2021/2022
1,0.05445818,18,47,48,5,0,0,11,2,1,1,,,1,100.7,38.5,Indian Super league 2021/2022
0,0.020579388,20,20,50,5,0,0,15,2,1,1,,,2,88.8,32.6,Indian Super league 2021/2022
0,0.0075791385,25,26,59,2,0,0,15,2,1,0,,True,3,85.5,29.6,Indian Super league 2021/2022
0,0.045650776,33,44,80,0,0,0,15,1,2,1,,,0,104.0,44.6,Indian Super league 2021/2022
0,0.052716926,38,44,86,0,0,0,13,1,1,1,,,2,101.1,54.5,Indian Super league 2021/2022
0,0.038239352,43,52,96,5,1,1,2,2,1,1,True,,2,99.2,27.0,Indian Super league 2021/2022
